,player_name,result_type,result_contest,result_zone,0 pts,2 pts,3 pts
0,Kevon Looney,Layup,Average,Rim,0.23030606889055974,0.6688985553219796,0.10079537578746064
1,Kevon Looney,Layup,Average,Mid-Right Above Break 3,0.42889319467406717,0.39588915689676385,0.17521764842916904
2,Kevon Looney,Layup,Average,Right Above Break 3,0.46749396470107485,0.38781561428865946,0.14469042101026575
3,Kevon Looney,Layup,Open,Rim,0.1314105570997327,0.7602036894841703,0.10838575341609705
4,Kevon Looney,Layup,Open,Mid-Right Above Break 3,0.2848692351273204,0.5099152266254744,0.20521553824720523
5,Kevon Looney,Layup,Open,Right Above Break 3,0.32685596574969533,0.5017677920657662,0.17137624218453856
6,Kevon Looney,Layup,Plus,Rim,0.16339710264916946,0.7281338750408649,0.10846902230996562
7,Kevon Looney,Layup,Plus,Mid-Right Above Break 3,0.33669778040357085,0.46405514327369835,0.19924707632273075
8,Kevon Looney,Layup,Plus,Right Above Break 3,0.37973908311645105,0.45486552396231994,0.16539539292122904
9,Kevon Looney,1-2D Pull-Up,Average,Rim,0.2974151916585831,0.5763668238519035,0.12621798448951352
10,Kevon Looney,1-2D Pull-Up,Average,Mid-Right Above Break 3,0.49026224441389027,0.2981973709172591,0.21154038466885053
11,Kevon Looney,1-2D Pull-Up,Average,Right Above Break 3,0.5308036335798962,0.2941782938247573,0.17501807259534657
12,Kevon Looney,1-2D Pull-Up,Open,Rim,0.17795291798773863,0.6826522132761832,0.13939486873607826
13,Kevon Looney,1-2D Pull-Up,Open,Mid-Right Above Break 3,0.3439862497726807,0.40152193306569905,0.25449181716162034
14,Kevon Looney,1-2D Pull-Up,Open,Right Above Break 3,0.3924661270371686,0.3950608549453125,0.2124730180175188
15,Kevon Looney,1-2D Pull-Up,Plus,Rim,0.2178156023324032,0.6437037139814253,0.13848068368617147
16,Kevon Looney,1-2D Pull-Up,Plus,Mid-Right Above Break 3,0.398090624902764,0.35792818484305655,0.24398119025417947
17,Kevon Looney,1-2D Pull-Up,Plus,Right Above Break 3,0.4455333551475622,0.3516835328960986,0.2027831119563392
18,Kevon Looney,Catch & Shoot,Average,Rim,0.37897577276645145,0.4927175562498961,0.1283066709836524
19,Kevon Looney,Catch & Shoot,Average,Mid-Right Above Break 3,0.5567202755249595,0.23566566221279217,0.20761406226224827
20,Kevon Looney,Catch & Shoot,Average,Right Above Break 3,0.5924893941336681,0.23519257111801667,0.17231803474831534
21,Kevon Looney,Catch & Shoot,Open,Rim,0.24362168137457413,0.6093189984942825,0.14705932013114337
22,Kevon Looney,Catch & Shoot,Open,Mid-Right Above Break 3,0.4241385955055247,0.321920466009045,0.25394093848543037
23,Kevon Looney,Catch & Shoot,Open,Right Above Break 3,0.47088324875511434,0.3176510255096545,0.21146572573523117
24,Kevon Looney,Catch & Shoot,Plus,Rim,0.2919159209388762,0.5641202324070118,0.14396384665411188
25,Kevon Looney,Catch & Shoot,Plus,Mid-Right Above Break 3,0.475052768139097,0.28370542586950287,0.24124180599140024
26,Kevon Looney,Catch & Shoot,Plus,Right Above Break 3,0.5184471548711544,0.2809869267231745,0.20056591840567087
27,Kevon Looney,Off-Movement,Average,Rim,0.3366755356347073,0.5339168045183245,0.12940765984696817
28,Kevon Looney,Off-Movement,Average,Mid-Right Above Break 3,0.5214209863973264,0.2646241933308447,0.21395482027182894
29,Kevon Looney,Off-Movement,Average,Right Above Break 3,0.5594698463704639,0.2630543249144104,0.17747582871512566
30,Kevon Looney,Off-Movement,Open,Rim,0.20797044795398087,0.6463860714156658,0.14564348063035326
31,Kevon Looney,Off-Movement,Open,Mid-Right Above Break 3,0.38187975699966004,0.35899869991157213,0.25912154308876795
32,Kevon Looney,Off-Movement,Open,Right Above Break 3,0.4299786145974058,0.35383392892026067,0.21618745648233362
33,Kevon Looney,Off-Movement,Plus,Rim,0.2523894431572343,0.6039510277943178,0.14365952904844792
34,Kevon Looney,Off-Movement,Plus,Mid-Right Above Break 3,0.43467815539370946,0.31796160683718394,0.24736023776910657
35,Kevon Looney,Off-Movement,Plus,Right Above Break 3,0.4802594539687092,0.3139404829956636,0.2058000630356271
36,Kevon Looney,Off-Lob / Tip,Average,Rim,0.3042334098403986,0.5901128485791779,0.1056537415804236
37,Kevon Looney,Off-Lob / Tip,Average,Mid-Right Above Break 3,0.500306481255236,0.31946364732530175,0.18022987141946212
38,Kevon Looney,Off-Lob / Tip,Average,Right Above Break 3,0.5345534522296174,0.316265932154903,0.14918061561547963
39,Kevon Looney,Off-Lob / Tip,Open,Rim,0.18413145094746802,0.6981120945708769,0.11775645448165531
40,Kevon Looney,Off-Lob / Tip,Open,Mid-Right Above Break 3,0.361757376619168,0.4225461881894469,0.2156964351913852
41,Kevon Looney,Off-Lob / Tip,Open,Right Above Break 3,0.4053216633042956,0.41560473848099855,0.17907359821470598
42,Kevon Looney,Off-Lob / Tip,Plus,Rim,0.22542524789018983,0.6581684403904152,0.11640631171939506
43,Kevon Looney,Off-Lob / Tip,Plus,Mid-Right Above Break 3,0.4143632526964239,0.37854598544906465,0.20709076185451156
44,Kevon Looney,Off-Lob / Tip,Plus,Right Above Break 3,0.4557232869412059,0.3727560828369435,0.17152063022185068
45,Kevon Looney,Dunk,Average,Rim,0.21895463928324227,0.6753968520681635,0.10564850864859417
46,Kevon Looney,Dunk,Average,Mid-Right Above Break 3,0.4142779452872995,0.40059127963388724,0.1851307750788132
47,Kevon Looney,Dunk,Average,Right Above Break 3,0.4550184797190827,0.39208204365789623,0.15289947662302103
