player_name,variable,value,counts
Chris Chiozza,result_type,Off-Lob / Tip,1
Chris Chiozza,result_type,Off-Movement,52
Chris Chiozza,result_type,PU Fade,11
Chris Chiozza,result_type,Post Fade,2
Chris Chiozza,result_type,SC Violation,6
Chris Chiozza,result_type,Side Out,5
Chris Chiozza,result_type,TOV,44
Chris Chiozza,result_type,Take FT,3
Chris Chiozza,result_type,Take Side,8
Chris Chiozza,result_zone,Left Above Break 3,23
Chris Chiozza,result_zone,Left Corner 3,24
Chris Chiozza,result_zone,Left Midrange,10
Chris Chiozza,result_zone,Left Short Mid,13
Chris Chiozza,result_zone,Mid-Left Above Break 3,34
Chris Chiozza,result_zone,Mid-Left Deep Paint,7
Chris Chiozza,result_zone,Mid-Left Midrange,13
Chris Chiozza,result_zone,Mid-Left Short Paint,4
Chris Chiozza,result_zone,Mid-Right Above Break 3,32
Chris Chiozza,result_zone,Mid-Right Deep Paint,6
Chris Chiozza,result_zone,Mid-Right Midrange,2
Chris Chiozza,result_zone,Mid-Right Short Paint,8
Chris Chiozza,result_zone,Right Above Break 3,43
Chris Chiozza,result_zone,Right Corner 3,39
Chris Chiozza,result_zone,Right Midrange,7
Chris Chiozza,result_zone,Right Short Mid,12
Chris Chiozza,result_zone,Rim,103
Chris Chiozza,result_zone,Short Backcourt,1
Chris Chiozza,result_zone,,12
Damion Lee,points,0.0,528
Damion Lee,points,1.0,15
Damion Lee,points,2.0,204
Damion Lee,points,3.0,130
Damion Lee,points,,2
Damion Lee,result_contest,Alter,14
Damion Lee,result_contest,Average,330
Damion Lee,result_contest,Block,30
Damion Lee,result_contest,Fouled,48
Damion Lee,result_contest,Goaltend,3
Damion Lee,result_contest,Open,153
Damion Lee,result_contest,Plus,136
Damion Lee,result_contest,Poor,59
Damion Lee,result_contest,,106
Damion Lee,result_type,1-2D Pull-Up,69
Damion Lee,result_type,3+D Pull-Up,23
Damion Lee,result_type,Catch & Shoot,258
Damion Lee,result_type,Dunk,16
Damion Lee,result_type,Face-Up,15
Damion Lee,result_type,Floater,78
Damion Lee,result_type,Hook,4
Damion Lee,result_type,Layup,181
Damion Lee,result_type,Leaner,10
Damion Lee,result_type,Off-Lob / Tip,8
Damion Lee,result_type,Off-Movement,89
Damion Lee,result_type,PU Fade,17
Damion Lee,result_type,Post Fade,4
Damion Lee,result_type,Putback,1
Damion Lee,result_type,SC Violation,3
Damion Lee,result_type,Side Out,13
Damion Lee,result_type,TOV,66
Damion Lee,result_type,Take FT,9
Damion Lee,result_type,Take Side,15
Damion Lee,result_zone,Deep Backcourt,4
Damion Lee,result_zone,Left Above Break 3,64
Damion Lee,result_zone,Left Corner 3,72
Damion Lee,result_zone,Left Midrange,18
Damion Lee,result_zone,Left Short Mid,32
Damion Lee,result_zone,Mid-Left Above Break 3,65
Damion Lee,result_zone,Mid-Left Deep Paint,10
Damion Lee,result_zone,Mid-Left Midrange,22
Damion Lee,result_zone,Mid-Left Short Paint,8
Damion Lee,result_zone,Mid-Right Above Break 3,46
Damion Lee,result_zone,Mid-Right Deep Paint,10
Damion Lee,result_zone,Mid-Right Midrange,20
Damion Lee,result_zone,Mid-Right Short Paint,12
Damion Lee,result_zone,Right Above Break 3,74
Damion Lee,result_zone,Right Corner 3,79
Damion Lee,result_zone,Right Midrange,25
Damion Lee,result_zone,Right Short Mid,20
Damion Lee,result_zone,Rim,275
Damion Lee,result_zone,Short Backcourt,6
Damion Lee,result_zone,,17
Draymond Green,points,0.0,1085
Draymond Green,points,1.0,54
Draymond Green,points,2.0,541
Draymond Green,points,3.0,259
Draymond Green,points,4.0,2
Draymond Green,points,,5
Draymond Green,result_contest,Alter,28
Draymond Green,result_contest,Average,595
Draymond Green,result_contest,Block,64
Draymond Green,result_contest,Fouled,167
Draymond Green,result_contest,Goaltend,4
