,player_name,result_type,result_contest,result_zone,0 pts,2 pts,3 pts
0,Draymond Green,Layup,Average,Rim,0.16223952290534088,0.7733287211558031,0.06443175593885622
1,Draymond Green,Layup,Average,Right Corner 3,0.6786393995303375,0.19124963455629732,0.13011096591336538
2,Draymond Green,Layup,Average,Mid-Left Above Break 3,0.5262912608403476,0.20890755523611376,0.2648011839235386
3,Draymond Green,Layup,Average,Mid-Right Above Break 3,0.6385395936962486,0.1902482887447979,0.17121211755895355
4,Draymond Green,Layup,Average,Right Above Break 3,0.670702821314147,0.17242341587141036,0.15687376281444268
5,Draymond Green,Layup,Average,Left Corner 3,0.6412966797387394,0.2051881102300966,0.15351521003116414
6,Draymond Green,Layup,Average,Left Above Break 3,0.6051557875553755,0.18153931552725885,0.2133048969173657
7,Draymond Green,Layup,Average,Left Midrange,0.2377593524008012,0.6871500101068779,0.07509063749232087
8,Draymond Green,Layup,Average,Mid-Left Short Paint,0.2501610559864891,0.6604643485083088,0.08937459550520208
9,Draymond Green,Layup,Average,Right Short Mid,0.26889697006912694,0.6522413563417626,0.0788616735891103
10,Draymond Green,Layup,Average,Mid-Left Midrange,0.5579386209736766,0.3644288111080799,0.07763256791824347
11,Draymond Green,Layup,Open,Rim,0.1643850570796106,0.7740958819278657,0.06151906099252378
12,Draymond Green,Layup,Open,Right Corner 3,0.6882385470068094,0.20017100879536848,0.11159044419782202
13,Draymond Green,Layup,Open,Mid-Left Above Break 3,0.5558932068648252,0.22304500022125434,0.2210617929139204
14,Draymond Green,Layup,Open,Mid-Right Above Break 3,0.6555151132305671,0.20028791229823417,0.14419697447119878
15,Draymond Green,Layup,Open,Right Above Break 3,0.6856630197876493,0.18132386033131895,0.13301311988103182
16,Draymond Green,Layup,Open,Left Corner 3,0.6548481653659406,0.21511560446243316,0.13003623017162624
17,Draymond Green,Layup,Open,Left Above Break 3,0.6290734957798334,0.19221800234071887,0.17870850187944776
18,Draymond Green,Layup,Open,Left Midrange,0.23998752395840484,0.6918293406437445,0.06818313539785067
19,Draymond Green,Layup,Open,Mid-Left Short Paint,0.2528470467237376,0.6678303258089063,0.0793226274673561
20,Draymond Green,Layup,Open,Right Short Mid,0.27084362369517434,0.6579085074330346,0.07124786887179088
21,Draymond Green,Layup,Open,Mid-Left Midrange,0.5568901164733446,0.3731455439380086,0.06996433958864676
22,Draymond Green,Layup,Poor,Rim,0.24799853897635135,0.6833276148115065,0.0686738462121421
23,Draymond Green,Layup,Poor,Right Corner 3,0.7544199237568272,0.11357525745454222,0.1320048187886305
24,Draymond Green,Layup,Poor,Mid-Left Above Break 3,0.6052191129910449,0.1231852909308597,0.2715955960780954
25,Draymond Green,Layup,Poor,Mid-Right Above Break 3,0.7149343029961197,0.1117642726375611,0.17330142436631915
26,Draymond Green,Layup,Poor,Right Above Break 3,0.7420215120154692,0.10045301453113602,0.15752547345339485
27,Draymond Green,Layup,Poor,Left Corner 3,0.7215649135849082,0.12208873806440354,0.15634634835068834
28,Draymond Green,Layup,Poor,Left Above Break 3,0.6796701541019547,0.10539118122106812,0.2149386646769771
29,Draymond Green,Layup,Poor,Left Midrange,0.3437886377575685,0.5712915301861132,0.08491983205631828
30,Draymond Green,Layup,Poor,Mid-Left Short Paint,0.3610067316074475,0.5350990804884967,0.10389418790405583
